pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,clean,0,107.054000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.977208,182,347,202,213,1.202568,0.080171,-0.001202,0.040778,0.066966,-0.000000,102.196000,1,,,,,,,,none,0,1,,1.202568,-0.001202,0.000003
staging,staging,clean,1,107.120000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1732,0.974719,182,347,202,213,1.202402,0.080160,-0.000904,0.014896,0.054951,-0.000000,107.324000,0,,,,,,,,none,0,1,,1.202402,-0.000904,0.055897
staging,staging,clean,2,107.186000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1727,0.977401,182,347,202,213,1.202519,0.080168,0.000354,0.011975,0.057033,-0.000000,107.326000,0,,,,,,,,none,0,1,,1.202519,0.000354,0.058205
staging,staging,clean,3,107.252000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.974648,182,347,202,213,1.202749,0.080183,-0.000170,0.012380,0.056921,-0.000000,107.328000,0,,,,,,,,none,0,1,,1.202749,-0.000170,0.060626
staging,staging,clean,4,107.318000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977077,182,347,202,213,1.202408,0.080161,-0.001829,0.010567,0.057330,-0.000000,107.330000,0,,,,,,,,none,0,1,,1.202408,-0.001829,0.057194
staging,staging,clean,5,107.384000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.971989,182,347,202,213,1.202441,0.080163,0.000104,0.010535,0.055966,-0.000000,107.412000,0,,,,,,,,none,0,1,,1.202441,0.000104,0.060461
staging,staging,clean,6,107.450000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.976812,182,347,202,213,1.202582,0.080172,-0.000363,0.012078,0.063083,-0.000000,107.478000,0,,,,,,,,none,0,1,,1.202582,-0.000363,0.054850
staging,staging,clean,7,107.516000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.977654,182,347,202,213,1.202634,0.080176,-0.000356,0.011799,0.057754,-0.000000,107.546000,0,271.893274,87.007328,3.105725,2.285725,-0.401866,2.818155,0,none,0,1,,1.202627,-0.000367,0.049210
staging,staging,clean,8,107.582000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.974648,182,347,202,213,1.202664,0.080178,0.000107,0.012508,0.052246,-0.000000,107.598000,0,,,,,,,,none,0,1,,1.202664,0.000107,0.062547
staging,staging,clean,9,107.648000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.974286,182,347,202,213,1.202508,0.080167,-0.000525,0.010904,0.056693,-0.000000,107.666000,0,,,,,,,,none,0,1,,1.202508,-0.000525,0.056832
