case,range_m,yaw_rad,seed,observed,tru_lat_m,tru_range_m,est_lat_m,est_range_m,e_lat_m,e_range_m,e_2d_m,est_yaw_rad,e_yaw_rad,a1_proxy_yaw_rad,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,inliers,floor_found,t_observe_s
staging,2.245,-0.1,0,1,-0.4,2.463726758820443,-0.39523769797714353,2.4578102133912485,0.0047623020228564905,-0.0059165454291942865,0.007595066186191061,-0.0999161112774768,8.388872252321211e-05,-0.2656898750963387,186,347,200,217,1.1736028054419876,0.12392079312120366,0.5504896841468967,338,1,0.04168749999735155
staging,2.245,-0.1,1,1,-0.4,2.463726758820443,-0.39518809642189623,2.457501763034132,0.004811903578103793,-0.00622499578631075,0.007867972329930672,-0.10054762153130396,-0.0005476215313039573,-0.26420420753107393,186,347,200,217,1.1734024529781137,0.12389963789209896,0.5503949230009415,340,1,0.039451199998438824
staging,2.245,-0.1,2,1,-0.4,2.463726758820443,-0.3951733825116407,2.4574102636678266,0.0048266174883593305,-0.0063164951526162305,0.00794948724082003,-0.09969054533791542,0.0003094546620845823,-0.2667734028406057,186,347,200,217,1.1734411998114096,0.12390372917263331,0.5504144870712915,343,1,0.040295499999047024
staging,2.245,-0.1,3,1,-0.4,2.463726758820443,-0.3951419009767666,2.4572144937846834,0.00485809902323342,-0.0065122650357594125,0.008124698272275473,-0.0998835996792937,0.00011640032070631134,-0.267771998273099,186,347,200,217,1.1733558292866373,0.12389471489362008,0.5503749899298878,342,1,0.039622799999051495
staging,2.245,-0.1,4,1,-0.4,2.463726758820443,-0.39576598320267337,2.461095387931876,0.004234016797326656,-0.0026313708885665754,0.0049850788352081175,-0.09872640559103728,0.0012735944089627277,-0.2600572787298395,186,347,200,217,1.1733785024544934,0.12389710895482228,0.5503810841557177,337,1,0.03880829999980051
staging,2.245,-0.1,5,1,-0.4,2.463726758820443,-0.3951399539878482,2.457202386312968,0.004860046012151842,-0.00652437250747484,0.008135569055482631,-0.09908267877376907,0.0009173212262309355,-0.2632534468161846,186,347,200,219,1.1751634297603104,0.1386838830151919,0.551220650533865,338,1,0.03889409999828786
staging,2.245,-0.1,6,1,-0.4,2.463726758820443,-0.394882685668079,2.455602547261311,0.00511731433192103,-0.008124211559131567,0.009601547762168938,-0.09941655221671905,0.0005834477832809548,-0.26464394524932555,186,347,200,217,1.1725581492432595,0.12381048780829447,0.5499992413511057,336,1,0.05030980000083218
staging,2.245,-0.1,7,1,-0.4,2.463726758820443,-0.39509340596531145,2.4569129245389787,0.004906594034688572,-0.006813834281464093,0.008396606614370878,-0.09927501458487738,0.0007249854151226282,-0.2637912540212558,186,347,200,217,1.1731737700229206,0.12387549124465619,0.5502874747228027,342,1,0.06418670000130078
staging,2.245,-0.1,8,1,-0.4,2.463726758820443,-0.3951991576875704,2.4575705482028702,0.00480084231242961,-0.006156210617572544,0.007806856990923262,-0.10153258150964216,-0.001532581509642153,-0.26867594098753994,186,347,200,217,1.1734642213276423,0.12390616001596223,0.5504262898453591,336,1,0.054347499997675186
staging,2.245,-0.1,9,1,-0.4,2.463726758820443,-0.3951794334337112,2.4574478917031617,0.00482056656628882,-0.006278867117281095,0.0079159354656601,-0.10029328776110216,-0.0002932877611021567,-0.26389871977032753,186,347,200,217,1.1733833226484136,0.1238976179193977,0.5503857901131689,344,1,0.07648559999870486
staging,2.245,-0.05,0,1,-0.4,2.463726758820443,-0.3977542937125887,2.462113674568767,0.002245706287411331,-0.0016130842516757227,0.0027650022662419303,-0.04992045411978664,7.954588021336084e-05,-0.13359679479545739,184,347,202,217,1.190532435099458,0.10955819954902989,0.5550948777150848,346,1,0.07337470000129542
staging,2.245,-0.05,1,1,-0.4,2.463726758820443,-0.3976591894667932,2.4615249757972286,0.0023408105332068385,-0.0022017830232141655,0.003213602718707805,-0.05018387461894815,-0.00018387461894815021,-0.13361427746706556,184,347,202,217,1.1902256723196596,0.10952996984536745,0.5549518472165283,342,1,0.05898700000034296
staging,2.245,-0.05,2,1,-0.4,2.463726758820443,-0.39893393710360125,2.4581398396248333,0.0010660628963987673,-0.005586919195609497,0.005687719771344927,-0.049761755409107385,0.00023824459089261812,-0.133902578489702,184,347,200,215,1.1866916190300234,0.10920475021748684,0.5569668257694134,334,1,0.05170680000082939
staging,2.245,-0.05,3,1,-0.4,2.463726758820443,-0.3969865443516847,2.4573612778504828,0.003013455648315344,-0.006365480969960036,0.007042745410937911,-0.04842637415723909,0.0015736258427609118,-0.1309694521727628,184,347,202,215,1.188297634478171,0.09477220397678665,0.5540528847873681,346,1,0.05838850000145612
staging,2.245,-0.05,4,1,-0.4,2.463726758820443,-0.3995061657550343,2.461665781929153,0.0004938342449657407,-0.002060976891289812,0.0021193154573898383,-0.048463483596885897,0.0015365164031141063,-0.1283363795500071,184,347,202,217,1.190221919392042,0.10952962448393025,0.5586228010827766,343,1,0.05051690000254894
staging,2.245,-0.05,5,1,-0.4,2.463726758820443,-0.39699795786390785,2.4574319279099885,0.0030020421360921756,-0.006294830910454241,0.006974034211135119,-0.04966964104017546,0.0003303589598245421,-0.13256763276499317,184,347,200,217,1.188270450227773,0.1239300469562708,0.5540402099221519,343,1,0.049329800000123214
staging,2.245,-0.05,6,1,-0.4,2.463726758820443,-0.3967418439708389,2.4558465735132167,0.00325815602916113,-0.007880185307226117,0.008527186006331832,-0.04921043344844999,0.0007895665515500125,-0.1320553179015788,184,347,202,215,1.1875319032476743,0.09471113338785132,0.553695856728977,330,1,0.07487559999935911
staging,2.245,-0.05,7,1,-0.4,2.463726758820443,-0.39754045424590556,2.4607900004226786,0.002459545754094461,-0.0029367583977641942,0.0038306546703302047,-0.049031162424918555,0.0009688375750814479,-0.13107059007144586,184,347,202,217,1.1898894758181742,0.1094990315170099,0.5547950930195169,347,1,0.05380710000099498
staging,2.245,-0.05,8,1,-0.4,2.463726758820443,-0.39892249347121345,2.458069326574761,0.001077506528786576,-0.005657432245681715,0.005759128400553069,-0.0513399569765633,-0.0013399569765632988,-0.13540028205583032,184,347,200,217,1.188473811700743,0.1239512564350468,0.5578035795229185,347,1,0.0517212999984622
staging,2.245,-0.05,9,1,-0.4,2.463726758820443,-0.39763045395011437,2.4613471018944724,0.0023695460498856513,-0.0023796569259704192,0.003358201239927065,-0.05005166298717244,-5.1662987172435004e-05,-0.13331600752502468,184,347,202,217,1.190141851762159,0.10952225629713119,0.5549127652387981,347,1,0.05922350000037113
staging,2.245,0.0,0,1,-0.4,2.463726758820443,-0.40085641459377164,2.4587584992383826,-0.000856414593771615,-0.004968259582060153,0.005041532428851125,0.0002891621816042456,0.0002891621816042456,0.0007594956498666659,182,347,202,215,1.2034432554955101,0.09481674134207049,0.5616071098634542,334,1,0.053132900000491645
staging,2.245,0.0,1,1,-0.4,2.463726758820443,-0.4007182747618599,2.457911182160669,-0.0007182747618598717,-0.005815576659773836,0.005859765397968682,-0.0003356070024463158,-0.0003356070024463158,-0.0008607605070103667,182,347,202,215,1.2029922288521004,0.09478120590955942,0.5613960818771988,338,1,0.04620499999873573
staging,2.245,0.0,2,1,-0.4,2.463726758820443,-0.4007397820038014,2.458043102499208,-0.0007397820038013703,-0.005683656321234576,0.00573159895588117,-0.00044788282760686914,-0.00044788282760686914,-0.0011880292176981416,182,347,202,215,1.20312391107497,0.09479158087257339,0.5614574226723054,334,1,0.05080739999903017
staging,2.245,0.0,3,1,-0.4,2.463726758820443,-0.4006919380360716,2.457749638909728,-0.0006919380360715932,-0.005977119910714812,0.006017037532941444,0.00023184760785289663,0.00023184760785289663,0.0006117992637327592,182,347,202,215,1.203004754720327,0.09478219279614697,0.5614024261514005,332,1,0.047367300001496915
staging,2.245,0.0,4,1,-0.4,2.463726758820443,-0.40078017839575564,2.4582908844192173,-0.0007801783957556152,-0.0054358744012255045,0.005491576170381555,0.000801591395097914,0.000801591395097914,0.0021098023397967533,182,347,202,215,1.2031834502495677,0.09479627183784473,0.561486324831578,340,1,0.07129580000037095
