case,expected,reason,exact,range_m,seed,t_classify_s
clean,none,none,1,2.245,0,0.09986489999937476
clean,none,none,1,2.245,1,0.0560113999999885
clean,none,none,1,2.245,2,0.0585490999983449
clean,none,none,1,2.245,3,0.052951699999539414
clean,none,none,1,2.245,4,0.0527230999978201
clean,none,none,1,2.245,5,0.09681959999943501
clean,none,none,1,2.245,6,0.05102740000074846
clean,none,none,1,2.245,7,0.07549659999858704
clean,none,none,1,2.245,8,0.07249170000068261
clean,none,none,1,2.245,9,0.05623870000272291
clean,none,none,1,1.5,0,0.05905449999772827
clean,none,none,1,1.5,1,0.07685739999942598
clean,none,none,1,1.5,2,0.08138180000241846
clean,none,none,1,1.5,3,0.05897180000101798
clean,none,none,1,1.5,4,0.05342430000018794
clean,none,none,1,1.5,5,0.05107119999956922
clean,none,none,1,1.5,6,0.054407999999966705
clean,none,none,1,1.5,7,0.07853830000021844
clean,none,none,1,1.5,8,0.07183939999958966
clean,none,none,1,1.5,9,0.08658350000041537
clean,none,none,1,1.0,0,0.057376600001589395
clean,none,none,1,1.0,1,0.06172069999956875
clean,none,none,1,1.0,2,0.06694509999942966
clean,none,none,1,1.0,3,0.05395399999906658
clean,none,none,1,1.0,4,0.05233579999912763
clean,none,none,1,1.0,5,0.09230659999957425
clean,none,none,1,1.0,6,0.056333900000026915
clean,none,none,1,1.0,7,0.055593600001884624
clean,none,none,1,1.0,8,0.07587499999863212
clean,none,none,1,1.0,9,0.06177929999830667
empty_bay,pallet_absent,pallet_absent,1,2.245,0,0.16780600000129198
empty_bay,pallet_absent,pallet_absent,1,2.245,1,0.19991379999919445
empty_bay,pallet_absent,pallet_absent,1,2.245,2,0.1695966999977827
empty_bay,pallet_absent,pallet_absent,1,2.245,3,0.15474990000075195
empty_bay,pallet_absent,pallet_absent,1,2.245,4,0.25582459999714047
empty_bay,pallet_absent,pallet_absent,1,2.245,5,0.17894449999948847
empty_bay,pallet_absent,pallet_absent,1,2.245,6,0.185429799999838
