# columns, in order:
#  [ 0] SafetyInputStandIn.EStopCircuitClosed
#  [ 1] SafetyInputStandIn.ZoneDeviceCircuitClosed
#  [ 2] SafetyInputStandIn.ResetButtonPressed
#  [ 3] InstF_Forklift_Safety.EStopCircuitClosed
#  [ 4] InstF_Forklift_Safety.ZoneDeviceCircuitClosed
#  [ 5] InstF_Forklift_Safety.ResetButtonPressed
#  [ 6] InstF_Forklift_Safety.EStopDemand
#  [ 7] InstF_Forklift_Safety.ZoneStopDemand
#  [ 8] InstF_Forklift_Safety.SafetyResetRequired
#  [ 9] InstF_Forklift_Safety.SafetyResetFault
#  [10] ForkliftSafetyMirror.EStopDemand
#  [11] ForkliftSafetyMirror.ZoneStopDemand
#  [12] ForkliftSafetyMirror.SafetyResetRequired
#  [13] ForkliftSafetyMirror.SafetyResetFault
#
#  IN = stand-in DB (what the API writes) | CON = F-block instance (the CONSUMER's view)
#  OUT = F-program outputs | MIR = standard-side mirror of those outputs

     t_ms  . . . . . . . . . . . . . .
     35.5  00000011101110   PHASE0 baseline
# write EStopCircuitClosed:=TRUE returned in 4.4 ms
    140.4  10010011101110   PHASE1 consumer FOLLOWED
# consumer-view latency: 80.4 ms (F-OB is 100 ms)
  2,082.0  10010011101110   PHASE1 end
  2,901.7  11011011101110   PHASE2 both circuits closed
  3,936.9  11111111101110   PHASE3 reset held 1000 ms, about to release
  3,976.4  11011000001110   PHASE3 SafetyResetRequired CLEARED
# cleared 37.0 ms after release
  5,968.7  11011000000000   PHASE3 end
  6,049.8  01001010100000   PHASE4 EStopDemand RE-ASSERTED
# demand re-asserted 79.1 ms after the circuit opened
  8,814.2  00000011101110   RESTORED to as-found
# done
