sim_s,truth_x,truth_y,truth_yaw,ekf_x,ekf_y,ekf_yaw,slam_x,slam_y,slam_yaw,mo_x,mo_y,mo_yaw,slam_ok
286.0120,-6.00000,-5.50000,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
286.1080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,nan,nan,nan,nan,nan,nan,0
286.2080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,nan,nan,nan,nan,nan,nan,0
286.3080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.4100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.5120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.6120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.7120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.8140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
286.9140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.0180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.1160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.2140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.3100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.4100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.5100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.6100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.7040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.8000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
287.9000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.0000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.1000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.2020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.3040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.4040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.5040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.6060,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.7060,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.8080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
288.9040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.0020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.1000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.2000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.3040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.4040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.5040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.6060,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.7080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.8100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
289.9120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.0120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.1120,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.2140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.3160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.4160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.5160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.6140,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.7160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.8180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
290.9200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.0200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.1180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.2180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.3200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.4200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.5220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.6240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.7240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.8220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
291.9240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.0240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.1260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.2280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.3280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.4300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.5260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.6220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.7220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.8180,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
292.9220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.0240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.1240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.2240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.3260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.4260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.5240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.6260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.7240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.8260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
293.9260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.0240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.1200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.2200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.3220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.4220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.5220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.6220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.7200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.8200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
294.9200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.0220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.1240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.2220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.3200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.4220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.5240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.6240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.7220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.8220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
295.9240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.0240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.1220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.2200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.3220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.4220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.5200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.6220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.7220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.8240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
296.9240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.0220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.1240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.2220,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.3240,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.4260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.5260,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.6280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.7280,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.8300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
297.9300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.0300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.1300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.2320,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.3300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.4300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.5300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.6300,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.7200,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.8160,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
298.9100,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.0080,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.1040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.2020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.3040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.4000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.5020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.6020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.7000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.8000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
299.9000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.0000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.0960,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.1980,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.3000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.4000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.5000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.6000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.7000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.8020,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
300.9000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
301.0040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
301.1040,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
301.2000,-6.00000,-5.50000,-0.000000,0.00000,0.00000,0.001170,0.00000,0.00000,0.001170,0.00000,0.00000,-0.000000,1
